EXEC_FULLNAME,EXECRANK,CO_PER_ROL,compustat_company,CEOANN,AGE,GVKEY,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,PCEO,TITLE,GENDER,CITY,STATE,NAICSDESC,TICKER,NAICS
Steven Jay Sinofsky,,44739,MICROSOFT CORP,,46,12141,2012,,,,,,MALE,Redmond,WA,Software Publishers,MSFT,511210
Kurt D. DelBene,,44740,MICROSOFT CORP,,52,12141,2012,,,,,Executive Officer,MALE,Redmond,WA,Software Publishers,MSFT,511210
Brian Kevin Turner,,60499,MICROSOFT CORP,,47,12141,2012,,,,,,MALE,Redmond,WA,Software Publishers,MSFT,511210
Steven A. Ballmer,,2469,MICROSOFT CORP,CEO,57,12141,2013,20000101,,20140204,,CEO,MALE,Redmond,WA,Software Publishers,MSFT,511210
Peter S. Klein,,42927,MICROSOFT CORP,,51,12141,2013,,,,,Executive Officer,MALE,Redmond,WA,Software Publishers,MSFT,511210
Kurt D. DelBene,,44740,MICROSOFT CORP,,53,12141,2013,,,,,Executive Officer,MALE,Redmond,WA,Software Publishers,MSFT,511210
Amy E. Hood,2,47865,MICROSOFT CORP,,41,12141,2013,,,,,Executive VP & CFO,FEMALE,Redmond,WA,Software Publishers,MSFT,511210
Satya Nadella,1,47866,MICROSOFT CORP,,46,12141,2013,20140204,,,CEO,CEO & Director,MALE,Redmond,WA,Software Publishers,MSFT,511210
Brian Kevin Turner,,60499,MICROSOFT CORP,,48,12141,2013,,,,,,MALE,Redmond,WA,Software Publishers,MSFT,511210
Steven A. Ballmer,,2469,MICROSOFT CORP,CEO,58,12141,2014,20000101,,20140204,,CEO,MALE,Redmond,WA,Software Publishers,MSFT,511210
Amy E. Hood,,47865,MICROSOFT CORP,,42,12141,2014,,,,,Executive VP & CFO,FEMALE,Redmond,WA,Software Publishers,MSFT,511210
Satya Nadella,,47866,MICROSOFT CORP,,47,12141,2014,20140204,,,CEO,CEO & Director,MALE,Redmond,WA,Software Publishers,MSFT,511210
Heung Yeung Shum,,49604,MICROSOFT CORP,,47,12141,2014,,,,,Executive Vice President of Technology and Research,MALE,Redmond,WA,Software Publishers,MSFT,511210
Bradford L. Smith,3,49605,MICROSOFT CORP,,55,12141,2014,,,,,President & Chief Legal Officer,MALE,Redmond,WA,Software Publishers,MSFT,511210
Brian Kevin Turner,,60499,MICROSOFT CORP,,49,12141,2014,,,,,,MALE,Redmond,WA,Software Publishers,MSFT,511210
Amy E. Hood,,47865,MICROSOFT CORP,,43,12141,2015,,,,,Executive VP & CFO,FEMALE,Redmond,WA,Software Publishers,MSFT,511210
Satya Nadella,,47866,MICROSOFT CORP,CEO,48,12141,2015,20140204,,,CEO,CEO & Director,MALE,Redmond,WA,Software Publishers,MSFT,511210
Bradford L. Smith,,49605,MICROSOFT CORP,,56,12141,2015,,,,,President & Chief Legal Officer,MALE,Redmond,WA,Software Publishers,MSFT,511210
Margaret L. Johnson,5,51594,MICROSOFT CORP,,53,12141,2015,,,,,,FEMALE,Redmond,WA,Software Publishers,MSFT,511210
Brian Kevin Turner,,60499,MICROSOFT CORP,,50,12141,2015,,,,,,MALE,Redmond,WA,Software Publishers,MSFT,511210
Amy E. Hood,,47865,MICROSOFT CORP,,44,12141,2016,,,,,Executive VP & CFO,FEMALE,Redmond,WA,Software Publishers,MSFT,511210
Satya Nadella,,47866,MICROSOFT CORP,CEO,49,12141,2016,20140204,,,CEO,CEO & Director,MALE,Redmond,WA,Software Publishers,MSFT,511210
Bradford L. Smith,,49605,MICROSOFT CORP,,57,12141,2016,,,,,President & Chief Legal Officer,MALE,Redmond,WA,Software Publishers,MSFT,511210
Margaret L. Johnson,,51594,MICROSOFT CORP,,54,12141,2016,,,,,,FEMALE,Redmond,WA,Software Publishers,MSFT,511210
Brian Kevin Turner,,60499,MICROSOFT CORP,,51,12141,2016,,,,,,MALE,Redmond,WA,Software Publishers,MSFT,511210
Amy E. Hood,,47865,MICROSOFT CORP,,45,12141,2017,,,,,Executive VP & CFO,FEMALE,Redmond,WA,Software Publishers,MSFT,511210
Satya Nadella,,47866,MICROSOFT CORP,CEO,50,12141,2017,20140204,,,CEO,CEO & Director,MALE,Redmond,WA,Software Publishers,MSFT,511210
Bradford L. Smith,,49605,MICROSOFT CORP,,58,12141,2017,,,,,President & Chief Legal Officer,MALE,Redmond,WA,Software Publishers,MSFT,511210
Margaret L. Johnson,,51594,MICROSOFT CORP,,55,12141,2017,,,,,,FEMALE,Redmond,WA,Software Publishers,MSFT,511210
Jean-Philippe Courtois,4,55612,MICROSOFT CORP,,56,12141,2017,,,,,"Executive VP and President of Microsoft Global Sales, Marketing & Operations",MALE,Redmond,WA,Software Publishers,MSFT,511210
Amy E. Hood,,47865,MICROSOFT CORP,,46,12141,2018,,,,,Executive VP & CFO,FEMALE,Redmond,WA,Software Publishers,MSFT,511210
Satya Nadella,,47866,MICROSOFT CORP,CEO,51,12141,2018,20140204,,,CEO,CEO & Director,MALE,Redmond,WA,Software Publishers,MSFT,511210
Bradford L. Smith,,49605,MICROSOFT CORP,,59,12141,2018,,,,,President & Chief Legal Officer,MALE,Redmond,WA,Software Publishers,MSFT,511210
Margaret L. Johnson,,51594,MICROSOFT CORP,,56,12141,2018,,,,,,FEMALE,Redmond,WA,Software Publishers,MSFT,511210
Jean-Philippe Courtois,,55612,MICROSOFT CORP,,57,12141,2018,,,,,"Executive VP and President of Microsoft Global Sales, Marketing & Operations",MALE,Redmond,WA,Software Publishers,MSFT,511210
Amy E. Hood,,47865,MICROSOFT CORP,,47,12141,2019,,,,,Executive VP & CFO,FEMALE,Redmond,WA,Software Publishers,MSFT,511210
Satya Nadella,,47866,MICROSOFT CORP,CEO,52,12141,2019,20140204,,,CEO,CEO & Director,MALE,Redmond,WA,Software Publishers,MSFT,511210
Bradford L. Smith,,49605,MICROSOFT CORP,,60,12141,2019,,,,,President & Chief Legal Officer,MALE,Redmond,WA,Software Publishers,MSFT,511210
Margaret L. Johnson,,51594,MICROSOFT CORP,,57,12141,2019,,,,,,FEMALE,Redmond,WA,Software Publishers,MSFT,511210
Jean-Philippe Courtois,,55612,MICROSOFT CORP,,58,12141,2019,,,,,"Executive VP and President of Microsoft Global Sales, Marketing & Operations",MALE,Redmond,WA,Software Publishers,MSFT,511210
Lawrence J. Ellison,,2472,ORACLE CORP,CEO,67,12142,2010,19770601,19770601,20140917,,"Co-Founder, Chairman & CTO",MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Jeffrey O. Henley,,2474,ORACLE CORP,,66,12142,2010,,19910301,,,Vice Chairman,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Keith G. Block,,24106,ORACLE CORP,,50,12142,2010,,,,,executive vp-North America-sales & consulting,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Safra Ada Catz,,28123,ORACLE CORP,,49,12142,2010,20140917,19990401,20190901,CEO,CEO & Director,FEMALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
"Charles E. Phillips, Jr.",,28124,ORACLE CORP,,51,12142,2010,,20030501,,,president,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Jeffrey Emanuel Epstein,,38193,ORACLE CORP,,55,12142,2010,,20080908,,,executive vp & chief finance officer,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Thomas Kurian,,42928,ORACLE CORP,,44,12142,2010,,,,,President of Product Development,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Mark Vincent Hurd,2,44443,ORACLE CORP,,54,12142,2010,20140917,,20190901,,CEO & Director,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Lawrence J. Ellison,,2472,ORACLE CORP,CEO,68,12142,2011,19770601,19770601,20140917,,"Co-Founder, Chairman & CTO",MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Safra Ada Catz,,28123,ORACLE CORP,,50,12142,2011,20140917,19990401,20190901,CEO,CEO & Director,FEMALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Thomas Kurian,,42928,ORACLE CORP,,45,12142,2011,,,,,President of Product Development,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Mark Vincent Hurd,,44443,ORACLE CORP,,55,12142,2011,20140917,,20190901,,CEO & Director,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
John F. Fowler,,46334,ORACLE CORP,,51,12142,2011,,,,,,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Lawrence J. Ellison,,2472,ORACLE CORP,CEO,69,12142,2012,19770601,19770601,20140917,,"Co-Founder, Chairman & CTO",MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Safra Ada Catz,,28123,ORACLE CORP,,51,12142,2012,20140917,19990401,20190901,CEO,CEO & Director,FEMALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Thomas Kurian,,42928,ORACLE CORP,,46,12142,2012,,,,,President of Product Development,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Mark Vincent Hurd,,44443,ORACLE CORP,,56,12142,2012,20140917,,20190901,,CEO & Director,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
John F. Fowler,,46334,ORACLE CORP,,52,12142,2012,,,,,,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Lawrence J. Ellison,,2472,ORACLE CORP,CEO,70,12142,2013,19770601,19770601,20140917,,"Co-Founder, Chairman & CTO",MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Safra Ada Catz,,28123,ORACLE CORP,,52,12142,2013,20140917,19990401,20190901,CEO,CEO & Director,FEMALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Thomas Kurian,,42928,ORACLE CORP,,47,12142,2013,,,,,President of Product Development,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Mark Vincent Hurd,,44443,ORACLE CORP,,57,12142,2013,20140917,,20190901,,CEO & Director,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
John F. Fowler,,46334,ORACLE CORP,,53,12142,2013,,,,,,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Lawrence J. Ellison,,2472,ORACLE CORP,,71,12142,2014,19770601,19770601,20140917,,"Co-Founder, Chairman & CTO",MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Safra Ada Catz,,28123,ORACLE CORP,,53,12142,2014,20140917,19990401,20190901,CEO,CEO & Director,FEMALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Thomas Kurian,,42928,ORACLE CORP,,48,12142,2014,,,,,President of Product Development,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Mark Vincent Hurd,,44443,ORACLE CORP,CEO,58,12142,2014,20140917,,20190901,,CEO & Director,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
John F. Fowler,,46334,ORACLE CORP,,54,12142,2014,,,,,,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Lawrence J. Ellison,,2472,ORACLE CORP,,72,12142,2015,19770601,19770601,20140917,,"Co-Founder, Chairman & CTO",MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Safra Ada Catz,,28123,ORACLE CORP,,54,12142,2015,20140917,19990401,20190901,CEO,CEO & Director,FEMALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Thomas Kurian,,42928,ORACLE CORP,,49,12142,2015,,,,,President of Product Development,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Mark Vincent Hurd,,44443,ORACLE CORP,CEO,59,12142,2015,20140917,,20190901,,CEO & Director,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
John F. Fowler,,46334,ORACLE CORP,,55,12142,2015,,,,,,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Lawrence J. Ellison,,2472,ORACLE CORP,,73,12142,2016,19770601,19770601,20140917,,"Co-Founder, Chairman & CTO",MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Safra Ada Catz,,28123,ORACLE CORP,CEO,55,12142,2016,20140917,19990401,20190901,CEO,CEO & Director,FEMALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Thomas Kurian,,42928,ORACLE CORP,,50,12142,2016,,,,,President of Product Development,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Mark Vincent Hurd,,44443,ORACLE CORP,,60,12142,2016,20140917,,20190901,,CEO & Director,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
John F. Fowler,,46334,ORACLE CORP,,56,12142,2016,,,,,,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Lawrence J. Ellison,,2472,ORACLE CORP,,74,12142,2017,19770601,19770601,20140917,,"Co-Founder, Chairman & CTO",MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Safra Ada Catz,,28123,ORACLE CORP,,56,12142,2017,20140917,19990401,20190901,CEO,CEO & Director,FEMALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Thomas Kurian,,42928,ORACLE CORP,,51,12142,2017,,,,,President of Product Development,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Mark Vincent Hurd,,44443,ORACLE CORP,CEO,61,12142,2017,20140917,,20190901,,CEO & Director,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Edward Screven,4,60500,ORACLE CORP,,52,12142,2017,,,,,Executive VP & Chief Corporate Architect,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Lawrence J. Ellison,,2472,ORACLE CORP,,75,12142,2018,19770601,19770601,20140917,,"Co-Founder, Chairman & CTO",MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Jeffrey O. Henley,,2474,ORACLE CORP,,74,12142,2018,,19910301,,,Vice Chairman,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Safra Ada Catz,,28123,ORACLE CORP,CEO,57,12142,2018,20140917,19990401,20190901,CEO,CEO & Director,FEMALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Mark Vincent Hurd,,44443,ORACLE CORP,,62,12142,2018,20140917,,20190901,,CEO & Director,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Edward Screven,,60500,ORACLE CORP,,53,12142,2018,,,,,Executive VP & Chief Corporate Architect,MALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Dorian E. Daley,1,62409,ORACLE CORP,,60,12142,2018,,,,,Executive VP & General Counsel,FEMALE,Redwood City,CA,Internet Publishing and Broadcasting and Web Searc,ORCL,519130
Jeffery P. Howells,,7046,TECH DATA CORP,,53,12171,2010,,19911001,,,executive vp & chief finance officer,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Nestor Cano Soler,,19555,TECH DATA CORP,,47,12171,2010,,,,,president-europe,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Robert M. Dutkowsky,,33154,TECH DATA CORP,CEO,56,12171,2010,20061002,20061002,20180606,,Executive Chairman of the Board,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Joseph B. Trepani,,42286,TECH DATA CORP,,50,12171,2010,,,,,"Principal Accounting Officer, Senior Vice President and Corporate Controller",MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Murray N. Wright,,43820,TECH DATA CORP,,54,12171,2010,,,,,,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Jeffery P. Howells,,7046,TECH DATA CORP,,54,12171,2011,,19911001,,,executive vp & chief finance officer,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Nestor Cano Soler,,19555,TECH DATA CORP,,48,12171,2011,,,,,president-europe,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Robert M. Dutkowsky,,33154,TECH DATA CORP,CEO,57,12171,2011,20061002,20061002,20180606,,Executive Chairman of the Board,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Joseph B. Trepani,,42286,TECH DATA CORP,,51,12171,2011,,,,,"Principal Accounting Officer, Senior Vice President and Corporate Controller",MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Murray N. Wright,,43820,TECH DATA CORP,,55,12171,2011,,,,,,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Steven A. Raymund,,7042,TECH DATA CORP,,58,12171,2012,19860101,19810101,20061002,,chairman & former CEO,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Jeffery P. Howells,,7046,TECH DATA CORP,,55,12171,2012,,19911001,,,executive vp & chief finance officer,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Nestor Cano Soler,,19555,TECH DATA CORP,,49,12171,2012,,,,,president-europe,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Robert M. Dutkowsky,,33154,TECH DATA CORP,CEO,58,12171,2012,20061002,20061002,20180606,,Executive Chairman of the Board,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Murray N. Wright,,43820,TECH DATA CORP,,56,12171,2012,,,,,,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
John A. Tonnison,,48494,TECH DATA CORP,,44,12171,2012,,,,,Chief Information Officer and Executive Vice President of Cloud Computing,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Steven A. Raymund,,7042,TECH DATA CORP,,59,12171,2013,19860101,19810101,20061002,,chairman & former CEO,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Jeffery P. Howells,,7046,TECH DATA CORP,,56,12171,2013,,19911001,,,executive vp & chief finance officer,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Nestor Cano Soler,,19555,TECH DATA CORP,,50,12171,2013,,,,,president-europe,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Robert M. Dutkowsky,,33154,TECH DATA CORP,CEO,59,12171,2013,20061002,20061002,20180606,,Executive Chairman of the Board,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
John A. Tonnison,,48494,TECH DATA CORP,,45,12171,2013,,,,,Chief Information Officer and Executive Vice President of Cloud Computing,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
David R. Vetter,4,48840,TECH DATA CORP,,54,12171,2013,,,,,Executive VP & Chief Legal Officer,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Jeffery P. Howells,,7046,TECH DATA CORP,,57,12171,2014,,19911001,,,executive vp & chief finance officer,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Nestor Cano Soler,,19555,TECH DATA CORP,,51,12171,2014,,,,,president-europe,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Robert M. Dutkowsky,,33154,TECH DATA CORP,CEO,60,12171,2014,20061002,20061002,20180606,,Executive Chairman of the Board,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
John A. Tonnison,,48494,TECH DATA CORP,,46,12171,2014,,,,,Chief Information Officer and Executive Vice President of Cloud Computing,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
David R. Vetter,,48840,TECH DATA CORP,,55,12171,2014,,,,,Executive VP & Chief Legal Officer,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Joseph H. Quaglia,3,50639,TECH DATA CORP,,50,12171,2014,,,,,President of the Americas,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Steven A. Raymund,,7042,TECH DATA CORP,,61,12171,2015,19860101,19810101,20061002,,chairman & former CEO,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Jeffery P. Howells,,7046,TECH DATA CORP,,58,12171,2015,,19911001,,,executive vp & chief finance officer,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Nestor Cano Soler,,19555,TECH DATA CORP,,52,12171,2015,,,,,president-europe,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Robert M. Dutkowsky,,33154,TECH DATA CORP,CEO,61,12171,2015,20061002,20061002,20180606,,Executive Chairman of the Board,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
John A. Tonnison,,48494,TECH DATA CORP,,47,12171,2015,,,,,Chief Information Officer and Executive Vice President of Cloud Computing,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Joseph H. Quaglia,,50639,TECH DATA CORP,,51,12171,2015,,,,,President of the Americas,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Charles V. Dannewitz,2,52612,TECH DATA CORP,,61,12171,2015,,,,,Executive VP & CFO,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Steven A. Raymund,,7042,TECH DATA CORP,,62,12171,2016,19860101,19810101,20061002,,chairman & former CEO,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Nestor Cano Soler,,19555,TECH DATA CORP,,53,12171,2016,,,,,president-europe,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Robert M. Dutkowsky,,33154,TECH DATA CORP,CEO,62,12171,2016,20061002,20061002,20180606,,Executive Chairman of the Board,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Joseph H. Quaglia,,50639,TECH DATA CORP,,52,12171,2016,,,,,President of the Americas,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Charles V. Dannewitz,,52612,TECH DATA CORP,,62,12171,2016,,,,,Executive VP & CFO,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Richard T. Hume,1,55215,TECH DATA CORP,,57,12171,2016,20180606,,,CEO,CEO & Director,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Robert M. Dutkowsky,,33154,TECH DATA CORP,CEO,63,12171,2017,20061002,20061002,20180606,,Executive Chairman of the Board,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
David R. Vetter,,48840,TECH DATA CORP,,58,12171,2017,,,,,Executive VP & Chief Legal Officer,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Joseph H. Quaglia,,50639,TECH DATA CORP,,53,12171,2017,,,,,President of the Americas,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Charles V. Dannewitz,,52612,TECH DATA CORP,,63,12171,2017,,,,,Executive VP & CFO,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Richard T. Hume,,55215,TECH DATA CORP,,58,12171,2017,20180606,,,CEO,CEO & Director,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Patrick Zammit,5,59990,TECH DATA CORP,,51,12171,2017,,,,,,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Robert M. Dutkowsky,,33154,TECH DATA CORP,,64,12171,2018,20061002,20061002,20180606,,Executive Chairman of the Board,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
David R. Vetter,,48840,TECH DATA CORP,,59,12171,2018,,,,,Executive VP & Chief Legal Officer,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Joseph H. Quaglia,,50639,TECH DATA CORP,,54,12171,2018,,,,,President of the Americas,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Charles V. Dannewitz,,52612,TECH DATA CORP,,64,12171,2018,,,,,Executive VP & CFO,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Richard T. Hume,,55215,TECH DATA CORP,CEO,59,12171,2018,20180606,,,CEO,CEO & Director,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Patrick Zammit,,59990,TECH DATA CORP,,52,12171,2018,,,,,,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
David R. Vetter,,48840,TECH DATA CORP,,60,12171,2019,,,,,Executive VP & Chief Legal Officer,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Joseph H. Quaglia,,50639,TECH DATA CORP,,55,12171,2019,,,,,President of the Americas,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Charles V. Dannewitz,,52612,TECH DATA CORP,,65,12171,2019,,,,,Executive VP & CFO,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Richard T. Hume,,55215,TECH DATA CORP,CEO,60,12171,2019,20180606,,,CEO,CEO & Director,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Patrick Zammit,,59990,TECH DATA CORP,,53,12171,2019,,,,,,MALE,Clearwater,FL,Computer and Computer Peripheral Equipment and Sof,TECD,423430
Paul H. Stebbins,,29802,WORLD FUEL SERVICES CORP,CEO,53,12471,2010,20020701,,20111231,,Executive Chairman,MALE,Miami,FL,Petroleum and Petroleum Products Merchant Wholesal,INT,424720
Michael J. Kasbar,,29803,WORLD FUEL SERVICES CORP,,53,12471,2010,20120101,,,CEO,Chairman & CEO,MALE,Miami,FL,Petroleum and Petroleum Products Merchant Wholesal,INT,424720
Michael S. Clementi,,29804,WORLD FUEL SERVICES CORP,,48,12471,2010,,,,,"President of Aviation Fuel Services Segment, President of World Fuel Services Inc and Chief Operating Officer of World Fuel Services",MALE,Miami,FL,Petroleum and Petroleum Products Merchant Wholesal,INT,424720
Francis X. Shea,,29805,WORLD FUEL SERVICES CORP,,69,12471,2010,,,,,Executive Vice President,MALE,Miami,FL,Petroleum and Petroleum Products Merchant Wholesal,INT,424720
Ira M. Birns,,35228,WORLD FUEL SERVICES CORP,,47,12471,2010,,,,,Executive VP & CFO,MALE,Miami,FL,Petroleum and Petroleum Products Merchant Wholesal,INT,424720
Paul H. Stebbins,,29802,WORLD FUEL SERVICES CORP,CEO,54,12471,2011,20020701,,20111231,,Executive Chairman,MALE,Miami,FL,Petroleum and Petroleum Products Merchant Wholesal,INT,424720
Michael J. Kasbar,,29803,WORLD FUEL SERVICES CORP,,54,12471,2011,20120101,,,CEO,Chairman & CEO,MALE,Miami,FL,Petroleum and Petroleum Products Merchant Wholesal,INT,424720
Michael S. Clementi,,29804,WORLD FUEL SERVICES CORP,,49,12471,2011,,,,,"President of Aviation Fuel Services Segment, President of World Fuel Services Inc and Chief Operating Officer of World Fuel Services",MALE,Miami,FL,Petroleum and Petroleum Products Merchant Wholesal,INT,424720
